ID_ORIGEN;LISTA_CARGA;FECHA_INGRESO;FECHA_EMISION;TOT_LPN;TOT_UNI;FECHA_RECEPCION;DESTINO;DESC_ZONA;ESTADO;MNFST
48;9790304;2022-12-16 15:27:04.0;2022-12-22 08:18:33.0;1;3;2022-12-23 11:01:00.0;66;MAIPU;Recepcionada;'9790304',
48;9790286;2022-12-16 15:33:00.0;2022-12-21 01:01:01.0;4;7;2022-12-22 09:09:02.0;8;PUENTE ALTO;Recepcionada;'9790286',
48;9790276;2022-12-16 15:36:01.0;2022-12-21 00:58:56.0;3;7;2022-12-22 08:47:46.0;60;VIÑA CENTRO;Recepcionada;'9790276',
48;9790629;2022-12-19 22:12:00.0;2022-12-22 08:19:19.0;20;41;2022-12-23 13:51:20.0;66;MAIPU;Recepcionada;'9790629',
48;9790451;2022-12-19 22:12:22.0;2022-12-21 00:59:25.0;20;30;2022-12-22 08:50:35.0;60;VIÑA CENTRO;Recepcionada;'9790451',
48;9790452;2022-12-19 22:17:57.0;2022-12-22 08:18:51.0;1;5;2022-12-23 13:51:20.0;66;MAIPU;Recepcionada;'9790452',
48;9790449;2022-12-19 22:17:58.0;2022-12-21 01:01:20.0;16;34;2022-12-22 09:09:02.0;8;PUENTE ALTO;Recepcionada;'9790449',
48;9790658;2022-12-20 05:50:03.0;2022-12-21 00:59:46.0;5;9;2022-12-22 08:44:10.0;60;VIÑA CENTRO;Recepcionada;'9790658',
48;9790655;2022-12-20 05:50:03.0;2022-12-22 08:19:31.0;8;21;2022-12-23 13:51:20.0;66;MAIPU;Recepcionada;'9790655',
48;9790679;2022-12-20 21:21:01.0;2022-12-21 00:56:21.0;2;2;null;118;CONCEPCION BARROS;Emitida;'9790679',
48;9790712;2022-12-20 21:21:01.0;2022-12-21 01:00:08.0;1;1;2022-12-22 08:46:16.0;60;VIÑA CENTRO;Recepcionada;'9790712',
48;9790711;2022-12-20 21:21:01.0;2022-12-21 01:01:41.0;3;4;2022-12-22 09:09:02.0;8;PUENTE ALTO;Recepcionada;'9790711',
48;9790677;2022-12-20 21:21:01.0;2022-12-22 08:14:58.0;5;11;2022-12-26 18:35:28.0;29;ALAMEDA CENTRO;Recepcionada;'9790677',
48;9790678;2022-12-20 21:21:01.0;2022-12-22 08:19:41.0;2;2;2022-12-23 13:51:21.0;66;MAIPU;Recepcionada;'9790678',
48;9790676;2022-12-20 21:21:01.0;2022-12-23 07:58:24.0;1;1;null;23;VALDIVIA;Emitida;'9790676',
48;9790722;2022-12-21 05:55:02.0;null;1;3;null;0;SUCURSAL N-A;Generada;'9790722',
48;9790734;2022-12-21 06:05:01.0;2022-12-21 06:12:27.0;4;13;2022-12-22 09:09:02.0;8;PUENTE ALTO;Recepcionada;'9790734',
48;9790741;2022-12-21 06:05:01.0;2022-12-21 06:13:31.0;3;7;2022-12-22 11:39:35.0;14;RANCAGUA;Recepcionada;'9790741',
48;9790737;2022-12-21 06:05:01.0;2022-12-21 06:14:19.0;3;3;2022-12-22 08:42:05.0;60;VIÑA CENTRO;Recepcionada;'9790737',
48;9790738;2022-12-21 06:05:01.0;2022-12-22 08:19:54.0;2;4;2022-12-23 13:51:21.0;66;MAIPU;Recepcionada;'9790738',
48;9790735;2022-12-21 06:05:01.0;2022-12-23 08:03:57.0;3;4;null;15;CURICO;Emitida;'9790735',
48;9790733;2022-12-21 06:05:02.0;2022-12-22 08:15:19.0;4;7;2022-12-26 18:28:14.0;29;ALAMEDA CENTRO;Recepcionada;'9790733',
48;9790732;2022-12-21 06:05:02.0;2022-12-23 07:58:42.0;1;1;null;23;VALDIVIA;Emitida;'9790732',
48;9790736;2022-12-21 06:10:04.0;2022-12-21 06:12:55.0;1;1;null;118;CONCEPCION BARROS;Emitida;'9790736',
70;5631550;2022-12-21 09:57:08.0;2022-12-21 10:23:13.0;255;3396;2022-12-23 22:24:37.0;41;VICTORIA;Recepcionada;'5631550',
70;5631571;2022-12-21 09:57:13.0;2022-12-21 10:08:56.0;416;6578;2022-12-23 08:40:37.0;3;CALAMA;Recepcionada;'5631571',
70;5631570;2022-12-21 10:03:25.0;2022-12-21 10:06:16.0;609;8426;2022-12-23 00:08:19.0;2;ANTOFAGASTA;Recepcionada;'5631570',
70;5631552;2022-12-21 10:06:09.0;2022-12-21 10:22:46.0;411;5531;2022-12-23 08:26:48.0;94;VILLARRICA;Recepcionada;'5631552',
70;5631609;2022-12-21 10:27:08.0;2022-12-21 10:34:44.0;331;4519;2022-12-26 15:24:48.0;83;CHILLAN;Recepcionada;'5631609',
70;5631512;2022-12-21 10:48:20.0;2022-12-21 10:54:09.0;813;11136;2022-12-22 14:28:30.0;32;OVALLE;Recepcionada;'5631512',
70;5631479;2022-12-21 11:12:24.0;2022-12-21 11:17:47.0;462;7061;null;26;PUNTA ARENAS;Emitida;'5631479',
70;5631516;2022-12-21 11:18:10.0;2022-12-21 11:24:01.0;371;6073;null;28;COQUIMBO;Emitida;'5631516',
70;5631601;2022-12-21 11:48:26.0;2022-12-21 11:51:20.0;980;13771;2022-12-22 09:40:18.0;118;CONCEPCION BARROS;Recepcionada;'5631601',
70;5631508;2022-12-21 11:57:10.0;2022-12-21 12:25:52.0;592;8963;2022-12-23 16:19:43.0;78;VALLENAR;Recepcionada;'5631508',
70;5631575;2022-12-21 12:06:07.0;2022-12-21 12:11:08.0;400;5331;2022-12-22 08:38:55.0;76;LOS ANDES;Recepcionada;'5631575',
70;5631515;2022-12-21 12:27:07.0;2022-12-21 12:28:43.0;358;5906;2022-12-22 18:16:49.0;93;VIÑA DEL MAR;Recepcionada;'5631515',
70;5631518;2022-12-21 12:48:16.0;2022-12-21 12:50:18.0;673;11475;2022-12-26 12:52:29.0;31;COPIAPO;Recepcionada;'5631518',
70;5631506;2022-12-21 12:51:07.0;2022-12-21 13:04:13.0;245;3368;2022-12-22 11:34:28.0;92;LA SERENA PASEO BALMACEDA;Recepcionada;'5631506',
70;5631606;2022-12-21 13:03:06.0;2022-12-21 13:23:06.0;116;1603;2022-12-22 10:33:43.0;48;PORTAL COMERCIO ELECTRONICO CORONA;Recepcionada;'5631606',
70;5631474;2022-12-21 13:03:23.0;2022-12-21 13:05:16.0;660;9123;2022-12-22 09:43:44.0;11;MELIPILLA;Recepcionada;'5631474',
70;5631513;2022-12-21 13:18:15.0;2022-12-21 13:21:26.0;486;7524;2022-12-23 11:47:13.0;20;TEMUCO MONTT;Recepcionada;'5631513',
70;5631514;2022-12-21 13:33:11.0;2022-12-21 13:34:28.0;144;2129;2022-12-22 08:51:25.0;19;TEMUCO VIVO;Recepcionada;'5631514',
70;5631509;2022-12-21 13:42:23.0;2022-12-21 13:45:00.0;544;7045;2022-12-22 06:50:25.0;4;LA SERENA;Recepcionada;'5631509',
70;5631519;2022-12-21 14:03:22.0;2022-12-21 14:04:42.0;433;8142;2022-12-22 08:39:24.0;60;VIÑA CENTRO;Recepcionada;'5631519',
48;9790750;2022-12-21 14:18:05.0;null;4;9;null;0;SUCURSAL N-A;Generada;'9790750',
70;5631600;2022-12-21 15:12:13.0;2022-12-21 15:13:39.0;456;8185;2022-12-22 11:08:20.0;68;ARAUCO MAIPU;Recepcionada;'5631600',
70;5631520;2022-12-21 15:27:05.0;2022-12-21 15:35:25.0;262;3585;2022-12-22 09:38:36.0;42;RANCAGUA PLAZA AMERICA;Recepcionada;'5631520',
