ID_ORIGEN;LISTA_CARGA;FECHA_INGRESO;FECHA_EMISION;TOT_LPN;TOT_UNI;FECHA_RECEPCION;DESTINO;DESC_ZONA;ESTADO;MNFST
49;623621;2022-10-08 15:25:50.0;2022-10-13 16:42:49.0;200;3197;null;70;CENTRO DE DISTRIB.LA MONTAÑA;Emitida;'623621',
11;623623;2022-10-08 19:29:49.0;2022-10-12 16:39:56.0;139;2128;2022-10-13 13:07:23.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623623',
49;623632;2022-10-11 10:20:08.0;2022-10-13 16:56:59.0;197;2880;null;70;CENTRO DE DISTRIB.LA MONTAÑA;Emitida;'623632',
76;623633;2022-10-11 11:26:27.0;2022-10-12 12:26:09.0;60;1184;2022-10-13 13:05:52.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623633',
76;623634;2022-10-11 11:32:05.0;2022-10-12 12:30:34.0;41;804;2022-10-13 13:05:38.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623634',
49;623663;2022-10-11 14:58:30.0;2022-10-13 16:57:26.0;171;2773;null;70;CENTRO DE DISTRIB.LA MONTAÑA;Emitida;'623663',
76;623664;2022-10-11 15:28:33.0;2022-10-12 12:39:37.0;36;649;null;117;ALAMEDA NORTE;Emitida;'623664',
49;623666;2022-10-11 17:19:22.0;2022-10-13 16:57:55.0;58;1160;null;70;CENTRO DE DISTRIB.LA MONTAÑA;Emitida;'623666',
11;623667;2022-10-11 18:00:27.0;2022-10-12 16:42:34.0;73;1300;2022-10-13 13:07:43.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623667',
23;623670;2022-10-11 19:11:00.0;2022-10-12 19:03:33.0;50;1000;2022-10-14 10:16:16.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623670',
66;623703;2022-10-12 10:37:56.0;2022-10-12 11:15:17.0;178;3179;null;117;ALAMEDA NORTE;Emitida;'623703',
76;623720;2022-10-12 11:54:02.0;2022-10-12 12:42:21.0;21;267;null;117;ALAMEDA NORTE;Emitida;'623720',
78;623721;2022-10-12 12:21:06.0;2022-10-14 12:59:55.0;15;180;2022-10-19 10:24:42.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623721',
78;623722;2022-10-12 12:26:13.0;2022-10-14 13:04:19.0;18;180;2022-10-19 10:24:30.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623722',
78;623723;2022-10-12 12:33:32.0;2022-10-14 13:02:21.0;6;78;2022-10-19 10:24:16.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623723',
78;623724;2022-10-12 12:36:48.0;2022-10-14 13:06:15.0;5;55;2022-10-19 10:24:05.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623724',
76;623726;2022-10-12 14:10:14.0;2022-10-12 14:13:25.0;4;61;null;117;ALAMEDA NORTE;Emitida;'623726',
15;623801;2022-10-12 17:10:33.0;2022-10-12 17:17:10.0;38;704;2022-10-13 15:20:25.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623801',
12;623803;2022-10-12 17:27:48.0;2022-10-12 18:46:06.0;78;1498;2022-10-15 12:16:44.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623803',
46;623804;2022-10-12 18:52:19.0;2022-10-12 19:06:58.0;25;300;2022-10-13 12:14:51.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623804',
32;623806;2022-10-12 18:59:48.0;2022-10-13 10:43:30.0;52;612;2022-10-14 10:17:11.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623806',
46;623807;2022-10-12 19:02:46.0;2022-10-12 19:13:44.0;25;442;2022-10-13 12:15:48.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623807',
53;623808;2022-10-12 19:05:27.0;2022-10-13 12:12:16.0;63;1260;2022-10-15 12:12:21.0;49;BODEGA EXTERNA LOGINSA;Recepcionada;'623808',
