ID_ORIGEN;LISTA_CARGA;FECHA_INGRESO;FECHA_EMISION;TOT_LPN;TOT_UNI;FECHA_RECEPCION;DESTINO;DESC_ZONA;ESTADO;MNFST
49;626691;2022-12-14 17:16:35.0;2022-12-26 13:08:36.0;67;1425;null;70;CENTRO DE DISTRIB.LA MONTAÑA;Emitida;'626691',
49;626916;2022-12-19 18:49:09.0;2022-12-26 13:08:51.0;61;1062;null;70;CENTRO DE DISTRIB.LA MONTAÑA;Emitida;'626916',
24;626920;2022-12-20 11:48:18.0;2022-12-20 16:13:38.0;19;241;null;14;RANCAGUA;Emitida;'626920',
24;626921;2022-12-20 11:50:11.0;2022-12-20 16:23:32.0;10;130;null;118;CONCEPCION BARROS;Emitida;'626921',
24;626922;2022-12-20 11:56:06.0;2022-12-20 16:21:18.0;23;274;null;23;VALDIVIA;Emitida;'626922',
24;626923;2022-12-20 12:38:18.0;2022-12-20 16:18:29.0;36;410;null;94;VILLARRICA;Emitida;'626923',
69;626924;2022-12-20 18:35:14.0;2022-12-20 18:42:41.0;121;1587;2022-12-21 21:40:36.0;14;RANCAGUA;Recepcionada;'626924',
81;626925;2022-12-20 21:24:14.0;2022-12-20 21:41:59.0;18;216;null;118;CONCEPCION BARROS;Emitida;'626925',
49;626964;2022-12-21 13:31:57.0;2022-12-21 14:04:08.0;20;312;2022-12-22 11:01:06.0;68;ARAUCO MAIPU;Recepcionada;'626964',
49;627010;2022-12-21 13:55:22.0;2022-12-21 14:04:54.0;23;362;2022-12-22 11:01:07.0;68;ARAUCO MAIPU;Recepcionada;'627010',
49;627017;2022-12-21 16:17:03.0;2022-12-26 13:09:25.0;57;887;null;70;CENTRO DE DISTRIB.LA MONTAÑA;Emitida;'627017',
29;627122;2022-12-22 18:53:50.0;2022-12-22 19:02:43.0;15;210;2022-12-23 10:08:34.0;68;ARAUCO MAIPU;Recepcionada;'627122',
46;627123;2022-12-22 19:00:18.0;2022-12-22 19:09:46.0;8;112;2022-12-23 10:11:02.0;68;ARAUCO MAIPU;Recepcionada;'627123',
66;627168;2022-12-24 10:10:39.0;2022-12-24 10:14:32.0;5;1000;2022-12-24 10:20:55.0;68;ARAUCO MAIPU;Recepcionada;'627168',
92;627169;2022-12-24 18:23:43.0;2022-12-26 10:55:08.0;9;116;null;49;BODEGA EXTERNA LOGINSA;Emitida;'627169',
92;627178;2022-12-26 11:52:10.0;2022-12-26 11:56:06.0;1;7;null;49;BODEGA EXTERNA LOGINSA;Emitida;'627178',
